lat	lon	title	description	iconSize	iconOffset	icon
5590507.6587927	1152816.7938539	SBLUG	<a href="http://salabaganzalug.wordpress.com/">http://salabaganzalug.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5544100.8621196	1342111.1954183	AlfLug	<a href="http://www.alflug.it/">http://www.alflug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5530280.2363864	1358221.3521237	RavennaLug	<a href="http://www.ravennalug.org/">http://www.ravennalug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5558214.5268285	1190083.280058	Lug Scandiano	<a href="http://lugscandiano.org/">http://lugscandiano.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5574141.5596032	1183465.3363312	RElug	<a href="http://www.relug.it/">http://www.relug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5475247.8821065	1400491.5891618	RiminiLug	<a href="http://www.riminilug.it/">http://www.riminilug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5458862.9242985	1417937.5797565	ValLUG	<a href="http://www.vallug.net/">http://www.vallug.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5770880.2542278	1516357.3679429	GoLug	<a href="http://www.golug.it/">http://www.golug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5774564.4537114	1409026.4545197	Lug Pordenone	<a href="http://pordenone.linux.it/">http://pordenone.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5724216.4307782	1533982.5829178	Lug Trieste	<a href="http://trieste.linux.it/">http://trieste.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5790280.7098295	1474117.1871673	AsCI	<a href="http://asci.cc.uniud.it/">http://asci.cc.uniud.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5845893.5954682	1449101.4711997	CarniaLUG	<a href="http://carnialug.net/">http://carnialug.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5731163.6965782	1463635.3439157	HCKLug	<a href="http://hcklug.no-ip.org">http://hcklug.no-ip.org</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5790280.7098295	1477117.1871673	IGLU	<a href="http://iglu.cc.uniud.it/">http://iglu.cc.uniud.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5743612.5395728	1488155.6881493	Lug ALP	<a href="http://www.alproject.org/">http://www.alproject.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
