lat	lon	title	description	iconSize	iconOffset	icon
5453263.5153752	1216010.702655	PtLug	<a href="http://www.ptlug.org/">http://www.ptlug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5447547.0414842	1234635.5666571	Plug	<a href="http://www.prato.linux.it/">http://www.prato.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5384160.7448263	1240724.7428026	ElsaGLUG	<a href="http://www.elsaglug.org/">http://www.elsaglug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5360812.7638148	1261564.8646711	Progetto GNUnisi	<a href="http://www.gnu.unisi.it">http://www.gnu.unisi.it</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5360812.7638148	1264564.8646711	SLUG	<a href="http://www.siena.linux.it/">http://www.siena.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5859662.5991482	1261648.3542892	Lug Bolzano	<a href="http://www.lugbz.org/">http://www.lugbz.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5791232.113146	1237992.9624989	LinuxTrent	<a href="http://www.linuxtrent.it/">http://www.linuxtrent.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5329065.453333	1379112.6809579	GNU/Lug Perugia	<a href="http://www.perugiagnulug.org/">http://www.perugiagnulug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5269378.4233906	1348252.6917245	OrvietoLug	<a href="http://www.orvietolug.it/">http://www.orvietolug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5246315.0056404	1408177.0868051	Terni GNU/Lug	<a href="http://www.ternignulug.org/">http://www.ternignulug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5738360.4061056	814480.18622469	SLAG	<a href="http://www.slag.it/">http://www.slag.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5803616.096385	1360478.9113966	Blug	<a href="http://belluno.linux.it/">http://belluno.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5803616.096385	1363478.9113966	LugAnegA	<a href="http://www.luganega.net/">http://www.luganega.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5656855.9953292	1297962.5532928	Blah Hacklab	<a href="http://blah.pizzahack.eu/">http://blah.pizzahack.eu/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5687123.2059857	1322677.0387183	Faber Libertatis	<a href="http://faberlibertatis.org/">http://faberlibertatis.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5687123.2059857	1325677.0387183	FSUG Padova	<a href="http://www.fsugpadova.org/">http://www.fsugpadova.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5679994.7310828	1334060.180227	Liberanimus	<a href="http://www.liberanimus.it/">http://www.liberanimus.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5744410.5223331	1340163.1043297	MontelLug	<a href="http://www.montellug.it/">http://www.montellug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5727092.8119934	1363107.1645739	TVLug	<a href="http://www.tvlug.it/">http://www.tvlug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5690837.9867248	1372198.6273857	0421ug	<a href="http://www.0421ug.org/">http://www.0421ug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5690837.9867248	1375198.6273857	VELug	<a href="http://www.velug.it/">http://www.velug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5690136.7871295	1224268.3824809	LinuxLudus	<a href="http://www.linuxludus.it/">http://www.linuxludus.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5690136.7871295	1227268.3824809	LugVR	<a href="http://www.lugverona.it/">http://www.lugverona.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5685757.9117454	1207112.9357572	Officina S3	<a href="http://www.officina-s3.org/">http://www.officina-s3.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5734380.2930966	1264298.8713646	AVi Lug	<a href="http://www.avilug.it/">http://www.avilug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5743184.8502605	1306412.1479208	GrappaFSD	<a href="http://grappafsd.homelinux.org/">http://grappafsd.homelinux.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5743184.8502605	1309412.1479208	GrappaLUG	<a href="http://grappalug.org/">http://grappalug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5709686.2515429	1284727.1111173	Lug Vicenza	<a href="http://vicenza.linux.it/">http://vicenza.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
